Season,Rk,Player,Pos,Age_nba,Tm_nba,G_nba,GS_nba,MP_nba,FG_nba,FGA_nba,FG%_nba,3P_nba,3PA_nba,3P%_nba,2P_nba,2PA_nba,2P%_nba,FT_nba,FTA_nba,FT%_nba,ORB_nba,DRB_nba,TRB_nba,AST_nba,STL_nba,BLK_nba,TOV_nba,PF_nba,PTS_nba,Tm_gleague,Age_gleague,G_gleague,GS_gleague,MP_gleague,FG_gleague,FGA_gleague,FG%_gleague,3P_gleague,3PA_gleague,3P%_gleague,2P_gleague,2PA_gleague,2P%_gleague,FT_gleague,FTA_gleague,FT%_gleague,ORB_gleague,DRB_gleague,TRB_gleague,AST_gleague,STL_gleague,BLK_gleague,TOV_gleague,PF_gleague,PTS_gleague
2017,235,Damian Jones,C,21,GSW,10,0,85,3.4,6.8,0.5,0,0,NA,3.4,6.8,0.5,1.3,4.2,0.3,3.8,5.9,9.7,0,0.4,1.7,2.5,6.4,8,SAN,21,31,21,819,6.5,11.2,0.58,0,0,0,6.5,11.2,0.583,2.4,4.9,0.495,3.6,6.3,9.8,1.5,0.6,2.9,1.8,4.2,15.4
2017,236,Derrick Jones Jr.,SF,19,PHO,32,8,545,4.5,8,0.562,0.2,0.7,0.273,4.3,7.3,0.591,1.9,2.7,0.707,2.6,2.6,5.2,0.8,0.9,0.9,0.9,4.2,11.1,NAS,19,19,17,602,6.2,12.3,0.5,0.7,2.8,0.255,5.4,9.5,0.572,3.5,5.7,0.611,2.3,4.1,6.4,1.1,1.4,1.7,1.7,4.1,16.5
2017,269,Shawn Long,C,24,PHI,18,0,234,9.4,16.8,0.56,1.1,2.9,0.368,8.3,13.8,0.6,2.9,5.4,0.543,6.3,6.8,13.1,2,1.4,1.4,2,7.5,22.8,DEL,24,39,36,1149,9.8,18.4,0.536,0.3,1.4,0.217,9.5,16.9,0.563,4.7,6.8,0.691,5.2,8.4,13.6,1.9,0.7,1.6,3.6,4.3,24.7
2017,283,Jarell Martin,PF,22,MEM,42,3,558,3.7,9.7,0.384,0.6,1.6,0.36,3.2,8.1,0.389,2.6,3.2,0.8,2.7,7.7,10.5,0.5,1.1,0.6,1.8,5.9,10.6,IOW,22,22,19,619,7.3,17.6,0.413,0.7,2.3,0.3,6.6,15.3,0.43,5.1,6,0.845,3,6.7,9.7,1.5,0.9,1.4,2.8,4.5,20.3
2017,290,Chris McCullough,PF,21,TOT,16,0,80,7.2,14.4,0.5,0.5,3.2,0.143,6.8,11.3,0.6,1.4,2.3,0.6,4.1,4.5,8.6,0.9,0.9,0.9,1.4,3.2,16.2,TOT,21,43,35,1267,7.3,16.4,0.446,1.4,3.9,0.35,5.9,12.5,0.476,3.7,5.5,0.672,2.5,6.1,8.6,2,1.4,1,2.6,3.9,19.7
2017,300,Jordan Mickey,PF,22,BOS,25,1,141,3.8,8.7,0.441,0,0.3,0,3.8,8.4,0.455,2,3.6,0.571,3.3,5.4,8.7,1.8,0.8,1.5,2.3,3.1,9.7,MAI,22,12,12,391,9.4,18.2,0.515,1.3,2.9,0.438,8.1,15.3,0.53,2.9,3.8,0.756,3.3,6.4,9.7,1.7,0.9,3,2.8,3.4,22.9
2017,317,Dejounte Murray,PG,20,SAS,38,8,322,5.6,13,0.431,1,2.6,0.391,4.6,10.4,0.441,2.3,3.4,0.7,0.7,4,4.7,5.4,0.9,0.7,4.2,3.2,14.5,AUS,20,15,15,527,7,15.9,0.442,0.5,3.1,0.156,6.6,12.8,0.511,3.1,4.4,0.703,1.3,6.8,8.1,6.4,2,0.1,5.2,2.9,17.6
2017,322,Maurice Ndour,PF,24,NYK,32,4,331,4.2,9.4,0.453,0.1,0.8,0.143,4.1,8.6,0.481,2.1,2.8,0.731,2.4,4.6,7,0.9,1.6,0.9,1.3,3.3,10.7,WES,24,18,18,507,7,14.8,0.469,0.6,2.1,0.276,6.4,12.8,0.5,4.3,5.5,0.779,2.4,6.3,8.7,1.5,1.4,1.8,2.5,3.6,18.7
2017,334,David Nwaba,SG,24,LAL,20,2,397,4.3,7.3,0.58,0.1,0.5,0.2,4.2,6.9,0.605,2.3,3.5,0.641,1.5,4.2,5.7,1.3,1.2,0.6,1,3.3,10.9,LOS,24,40,31,1150,7.2,11.1,0.647,0.1,0.5,0.235,7,10.5,0.668,3.2,5.2,0.612,3.3,5.3,8.6,1.3,1.7,1.4,0.9,3.4,17.6
2017,345,Georgios Papagiannis,C,19,SAC,22,0,355,5.7,10.3,0.549,0,0.2,0,5.7,10.1,0.56,1.2,1.4,0.857,2.4,6.3,8.7,2,0.3,1.7,2.4,4.5,12.6,REN,19,23,20,739,6.9,13.6,0.509,0.1,0.3,0.5,6.8,13.3,0.509,1.4,1.9,0.763,2.7,6.4,9.1,0.5,0.6,2.9,2.1,3.4,15.4
