Season,Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016,Bo Barnes,TEX,25,3,0,25,4.3,11.5,0.375,1.4,5.8,0.25,2.9,5.8,0.5,0,0,NA,0,2.9,2.9,1.4,1.4,0,1.4,1.4,10.1
2016,Antonio Barton,CAN,24,3,0,32,1.1,10.1,0.111,0,4.5,0,1.1,5.6,0.2,1.1,2.3,0.5,0,1.1,1.1,1.1,0,0,4.5,1.1,3.4
2016,Anthony Bennett,RAP,22,6,4,107,6.4,18.8,0.339,2,8.1,0.25,4.4,10.8,0.406,3.7,4.7,0.786,0.7,5.7,6.4,1.3,2,1.3,1.7,2,18.5
2016,Keith Benson,SFL,27,49,23,1168,8.5,14.9,0.573,0,0.2,0.143,8.5,14.6,0.579,3.8,4.9,0.772,3.7,7.7,11.4,1.2,0.6,2.4,2.4,4.5,20.8
2016,Davion Berry,TOT,24,41,23,1038,5,10.6,0.472,1.7,4.1,0.427,3.3,6.6,0.5,2.7,3.5,0.78,0.2,2.7,3,4.3,0.9,0.1,2.4,2.9,14.5
2016,Sim Bhullar,RAP,23,39,27,850,6.4,9.8,0.658,0,0,NA,6.4,9.8,0.658,3,5.3,0.571,3.2,8.2,11.4,1.8,0.8,2.2,2.4,3.9,15.9
2016,Tarik Black,LOS,24,8,8,257,7.6,13.2,0.574,0,0.1,0,7.6,13,0.581,3.2,5.3,0.605,4.3,8.8,13.2,1.1,0.8,2.5,2.9,4.9,18.4
2016,Vander Blue,LOS,23,48,48,1836,8.1,18.4,0.44,1.7,5.3,0.33,6.3,13.1,0.484,6.8,8.5,0.81,1,3.7,4.7,3.2,1.7,0,2.2,2,24.7
2016,Ryan Boatright,GRR,23,20,5,422,6.8,16.3,0.419,1.3,4.7,0.273,5.5,11.6,0.478,4,4.6,0.87,0.2,4.9,5.1,4.9,1.3,0.1,2.7,2.4,18.9
2016,Keith Bogans,WES,35,7,0,106,1,4.1,0.25,0.7,2.4,0.286,0.3,1.7,0.2,0.3,0.7,0.5,1.7,4.1,5.8,0.7,1,0,2,3.7,3.1
2016,John Bohannon,TOT,24,44,23,1018,4.2,8.6,0.492,0.1,0.7,0.19,4.1,7.8,0.52,2.1,3.3,0.645,3.4,6.9,10.3,2.3,1.3,1.3,2.3,4.3,10.7
2016,Askia Booker,BAK,22,47,0,974,8.2,17.8,0.462,1.2,3.5,0.333,7,14.2,0.494,4.7,6.2,0.756,0.7,4.7,5.4,6,1.3,0,3.5,4.2,22.3
2016,Aaron Bowen,ERI,24,36,11,579,5.3,10.2,0.518,0.2,0.6,0.3,5.1,9.6,0.532,1.1,1.9,0.6,2.5,3.6,6.1,1.4,1.3,0.4,2.2,5.8,11.9
2016,Jamal Branch,LOS,23,10,1,64,1.7,5.6,0.3,0.6,1.7,0.333,1.1,3.9,0.286,2.3,2.3,1,0.6,1.1,1.7,4.5,1.7,0,1.7,4.5,6.2
2016,Ronnie Brewer,SAN,30,41,31,1028,4.6,10.7,0.433,0.7,2.6,0.257,4,8.1,0.489,0.6,1.1,0.533,1.2,5.5,6.6,2.8,1.9,0.7,1.4,1.8,10.5
2016,Thomas Bropleh,TEX,24,9,0,139,4.4,13.2,0.333,1.8,7.5,0.241,2.6,5.7,0.455,0.5,0.8,0.667,1,3.4,4.4,1.6,0.5,0,1,2.3,11.1
2016,Anthony Brown,LOS,23,7,2,235,5.8,14.9,0.392,2.3,7.2,0.319,3.5,7.7,0.46,1.7,2.5,0.688,0.8,3.5,4.3,1.8,0.6,0.5,2.1,3.1,15.6
2016,Jabari Brown,LOS,23,8,4,219,7.1,19.4,0.364,2,7.1,0.279,5.1,12.3,0.413,5.9,6.7,0.878,0.8,2.5,3.3,1,0.8,0.3,2.5,3.5,22
2016,Lorenzo Brown,GRR,25,25,20,833,7.7,15.4,0.503,1.1,3.1,0.352,6.7,12.3,0.54,3.2,3.7,0.86,1.6,4.3,5.9,6.3,2.2,0.3,3.2,2.7,19.8
2016,Reggie Bullock,GRR,24,1,1,36,10,12,0.833,6,8,0.75,4,4,1,3,4,0.75,0,5,5,5,4,1,2,4,29
2016,Deonte Burton,BAK,24,43,29,1126,4.5,10,0.452,0.9,2.6,0.358,3.6,7.4,0.485,2.8,3.9,0.721,0.9,2.5,3.5,3.1,1.3,0.4,1.7,4.1,12.8
2016,Dwight Buycks,OKL,26,15,13,496,8.1,18.4,0.439,2.1,6.2,0.341,6,12.2,0.488,2.8,3.5,0.813,1.2,3.6,4.7,5.2,1.8,0.2,3.5,1.7,21
