Season,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016,266,Damian Lillard,PG,25,POR,75,75,2676,8.3,19.8,0.419,3.1,8.2,0.375,5.2,11.6,0.45,5.6,6.2,0.892,0.6,3.5,4.1,6.9,0.9,0.4,3.3,2.2,25.3
2016,267,Jeremy Lin,SG,27,CHO,78,13,2048,5.3,12.8,0.412,1.3,4,0.336,3.9,8.8,0.446,4.2,5.1,0.815,0.7,3.7,4.4,4.1,1,0.7,2.6,2.9,16.1
2016,268,Shaun Livingston,PG,30,GSW,78,3,1520,4.8,9,0.536,0,0.3,0.167,4.8,8.7,0.548,1.9,2.2,0.86,1,3,4,5.6,1.4,0.6,1.8,3.3,11.6
2016,269,Kevon Looney,PF,19,GSW,5,0,21,6.9,12,0.571,1.7,3.4,0.5,5.1,8.6,0.6,0,0,NA,6.9,10.3,17.1,0,0,0,1.7,3.4,15.4
2016,270,Brook Lopez,C,27,BRK,73,73,2457,8.7,17,0.511,0,0.2,0.143,8.6,16.7,0.515,4.6,5.9,0.787,3,5.4,8.4,2.2,0.8,1.8,2.6,3.2,22
2016,271,Robin Lopez,C,27,NYK,82,82,2219,5.8,10.7,0.539,0,0,0,5.8,10.7,0.54,2.1,2.6,0.795,4.3,5.4,9.8,1.8,0.3,2.1,2.2,3,13.7
2016,272,Kevin Love,PF,27,CLE,77,77,2424,6.1,14.5,0.419,2.3,6.5,0.36,3.7,8,0.467,3.8,4.7,0.822,2.2,9.1,11.3,2.8,0.9,0.6,2.1,2.4,18.3
2016,273,Kyle Lowry,PG,29,TOR,77,77,2851,6.5,15.1,0.427,2.7,6.9,0.388,3.8,8.2,0.461,5,6.2,0.811,0.7,3.9,4.6,6.2,2,0.4,2.8,2.7,20.6
2016,274,Trey Lyles,PF,20,UTA,80,33,1382,5,11.4,0.438,1.3,3.3,0.383,3.7,8,0.461,1.5,2.1,0.695,1.5,6.3,7.8,1.5,0.7,0.5,1.7,3,12.7
2016,275,Shelvin Mack,PG,25,TOT,52,27,1058,6.2,14.1,0.439,1.3,4.3,0.312,4.9,9.9,0.493,1.5,2.1,0.738,0.4,3.9,4.4,6.4,1.2,0.1,3.2,2.4,15.2
2016,276,Ian Mahinmi,C,29,IND,71,71,1816,5.2,8.9,0.589,0,0,NA,5.2,8.9,0.589,2.6,4.5,0.587,2.7,7.3,10.1,2.1,1.3,1.5,2,4.4,13.1
2016,277,Devyn Marble,SG,23,ORL,28,0,249,3,10.3,0.296,1.2,4.6,0.25,1.9,5.6,0.333,1.4,3.5,0.417,0.9,4.6,5.5,1.7,1.9,0.1,1,3.6,8.7
2016,278,Boban Marjanović,C,27,SAS,54,4,508,7.4,12.3,0.603,0,0,NA,7.4,12.3,0.603,6.2,8.1,0.763,5.2,8.6,13.7,1.5,0.9,1.6,2.1,3.8,21
2016,279,Kendall Marshall,PG,24,PHI,30,6,400,3.9,10.6,0.364,1.4,4.4,0.327,2.4,6.2,0.391,0.8,1.2,0.692,0.2,2.3,2.5,6.6,1.4,0.2,3.9,2.7,10
2016,280,Jarell Martin,PF,21,MEM,27,0,380,5.1,11,0.466,0,0.2,0,5.1,10.8,0.474,4.3,5.9,0.726,3.7,4.5,8.1,1.4,0.8,0.7,1.8,5.5,14.5
2016,281,Kevin Martin,SG,32,TOT,55,13,1095,5.1,13.8,0.372,1.6,4.5,0.36,3.5,9.3,0.378,5,5.7,0.89,0.5,3.2,3.6,1.9,0.9,0.1,1.8,2.7,16.9
2016,282,Wesley Matthews,SF,29,DAL,78,78,2644,4.5,11.6,0.388,2.6,7.1,0.36,1.9,4.5,0.432,1.7,2,0.863,0.4,2.9,3.2,2.1,1.1,0.2,1.1,2.4,13.3
2016,283,O.J. Mayo,SG,28,MIL,41,24,1090,3.9,10.6,0.371,1.7,5.4,0.321,2.2,5.3,0.421,1,1.3,0.775,0.4,3,3.5,3.9,1.6,0.3,2.4,4.2,10.6
2016,284,Luc Mbah a Moute,PF,29,LAC,75,61,1274,2.7,5.8,0.454,0.4,1.1,0.325,2.3,4.7,0.485,0.8,1.6,0.526,1.7,3.1,4.8,0.8,1.2,0.5,1,2.8,6.5
2016,285,James Michael McAdoo,PF,23,GSW,41,1,262,6.2,11.5,0.536,0.1,0.3,0.5,6,11.3,0.537,3.6,6.7,0.531,4.1,3.8,8,2.3,1.4,1.1,2.2,5.4,16.1
2016,286,Ray McCallum,PG,24,TOT,41,6,475,4.2,11.1,0.377,1.1,3.2,0.357,3,7.9,0.385,0.9,1.1,0.8,0.6,3,3.6,4.5,0.9,0.5,1.8,2.2,10.4
2016,287,CJ McCollum,SG,24,POR,80,80,2780,8.3,18.5,0.448,2.6,6.1,0.417,5.7,12.4,0.463,2.4,2.9,0.827,0.6,2.7,3.4,4.4,1.3,0.3,2.5,2.4,21.6
2016,288,T.J. McConnell,PG,23,PHI,81,17,1606,4.9,10.4,0.47,0.7,2,0.348,4.2,8.4,0.499,0.6,0.9,0.634,1,4.6,5.6,8.2,2.1,0.2,3.1,2.6,11.1
